tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15,estado_oculto
8.43987072585151e-06,9.00745726539753e-06,0,0.0000,0.2000,0.2000,0.2000,0
1.11604640551377e-05,1.42955741466722e-05,0,0.0000,0.4000,0.3000,0.2000,0
7.44327871871064e-06,1.34476249513682e-05,0,0.3333,0.4000,0.3000,0.2000,0
-4.54453311249381e-06,6.30584736427409e-06,0,0.6667,0.4000,0.3000,0.2000,0
-1.82671556103742e-05,1.62844989972655e-05,0,0.6667,0.4000,0.3000,0.2000,0
1.64006178238196e-05,1.13625847006915e-05,0,0.3333,0.2000,0.2000,0.2000,0
7.35784851713106e-06,1.59113387780963e-05,0,0.0000,0.2000,0.1000,0.2000,0
4.28373277827632e-06,1.43324423333979e-05,0,0.0000,0.2000,0.1000,0.2667,0
-5.40200835530413e-06,-9.96077798021133e-09,0,0.3333,0.2000,0.1000,0.3333,0
-3.98849761040765e-06,1.61682182806544e-05,0,0.3333,0.2000,0.1000,0.4000,0
2.74139620159985e-06,6.70966210236656e-06,0,0.3333,0.2000,0.2000,0.4667,0
-2.54012957157101e-06,2.5521749194013e-06,0,0.0000,0.0000,0.2000,0.4000,0
-5.40185374120483e-06,1.82472867891192e-05,0,0.0000,0.0000,0.3000,0.4000,0
2.78204061032739e-05,3.83524729841156e-06,0,0.0000,0.0000,0.4000,0.4000,0
6.06456524110399e-06,8.69177802087506e-06,0,0.0000,0.0000,0.5000,0.4000,0
-5.81061613047495e-06,3.52709639628301e-06,0,0.0000,0.2000,0.6000,0.4000,0
5.86081296205521e-06,8.68130609887885e-06,0,0.0000,0.4000,0.6000,0.4000,0
-1.74745139247534e-06,-6.50421725367778e-06,0,0.3333,0.6000,0.6000,0.4667,0
-1.28009496620507e-05,6.945374479983e-06,0,0.6667,0.8000,0.6000,0.4667,0
8.57206856608173e-08,1.06044417407247e-05,0,1.0000,1.0000,0.6000,0.4667,0
7.87849421612918e-06,3.13133750751149e-06,0,1.0000,1.0000,0.5000,0.4000,0
1.87746281881118e-05,3.18505817631376e-06,0,1.0000,0.8000,0.4000,0.3333,0
2.35080442507751e-05,1.14386975837988e-05,0,1.0000,0.6000,0.4000,0.2667,0
3.18072779919021e-05,-1.1307097338431e-06,0,0.6667,0.4000,0.3000,0.2000,0
3.51561757270247e-05,7.79836409492418e-06,0,0.3333,0.2000,0.2000,0.1333,0
3.17171907227021e-05,-1.15126704258728e-05,0,0.0000,0.0000,0.1000,0.0667,0
-6.33745776212891e-06,-2.44787879637443e-05,0,0.0000,0.0000,0.1000,0.0667,0
-6.47822935206932e-06,-6.27380904916208e-06,0,0.0000,0.2000,0.1000,0.0667,0
4.53100392405759e-06,-1.41088085001684e-05,0,0.0000,0.2000,0.1000,0.0667,0
